index,prompt,correct_answer
1,"Ord: implementera 

a) delta i 
b) avskaffa 
c) lägga sig i 
d) genomföra

Svar: d)
Ord: transparens
 
a) översikt
b) utsöndring
c) öppenhet
d) utbredning
e) förvandling
 
Svar:",c)
2,"Ord: implementera 

a) delta i 
b) avskaffa 
c) lägga sig i 
d) genomföra

Svar: d)

Ord: bemöda sig
 
a) opponera sig
b) utstå kritik
c) behärska sig
d) vägra lyda
e) anstränga sig
 
Svar:",e)
3,"Ord: implementera 

a) delta i 
b) avskaffa 
c) lägga sig i 
d) genomföra

Svar: d)

Ord: marodör
 
a) lögnare
b) ensamvarg
c) djurtämjare
d) skadegörare
e) ryttare
 
Svar:",d)
4,"Ord: implementera 

a) delta i 
b) avskaffa 
c) lägga sig i 
d) genomföra

Svar: d)

Ord: koherent
 
a) begränsad
b) föränderlig
c) sammanhängande
d) fördjupad
e) användbar
 
Svar:",c)
5,"Ord: implementera 

a) delta i 
b) avskaffa 
c) lägga sig i 
d) genomföra

Svar: d)

Ord: besinning
 
a) lugn
b) nervositet
c) tvivel
d) känslighet
e) obehag
 
Svar:",a)
6,"Ord: implementera 

a) delta i 
b) avskaffa 
c) lägga sig i 
d) genomföra

Svar: d)

Ord: slagkraftig
 
a) stabil
b) uthållig
c) impulsiv
d) verkningsfull
e) svårknäckt
 
Svar:",d)
7,"Ord: implementera 

a) delta i 
b) avskaffa 
c) lägga sig i 
d) genomföra

Svar: d)

Ord: konstellation
 
a) uppdrag
b) gruppering
c) påverkan
d) förberedelse
e) omflyttning
 
Svar:",b)
8,"Ord: implementera 

a) delta i 
b) avskaffa 
c) lägga sig i 
d) genomföra

Svar: d)

Ord: av hävd
 
a) av intresse
b) av tradition
c) av lojalitet
d) av misstag
e) av själviskhet
 
Svar:",b)
9,"Ord: implementera 

a) delta i 
b) avskaffa 
c) lägga sig i 
d) genomföra

Svar: d)

Ord: fordran
 
a) krav
b) förskott
c) återbäring
d) sparkapital
e) inbetalning
 
Svar:",a)
10,"Ord: implementera 

a) delta i 
b) avskaffa 
c) lägga sig i 
d) genomföra

Svar: d)

Ord: varsko
 
a) upptäcka
b) beklaga
c) förvarna
d) inbilla
e) bevara
 
Svar:",c)
11,"Glömskan
Det man kallar glömska är bara en mycket stor tid. Den är gränslös för att den egentligen är hela tiden, och därför är den också alltid närvarande på ett sätt som den lilla tiden inte klarar, för den lilla tiden är en å där det flyter kottar. Men glömskan är ett hav och om man kastar en kotte i havet driver den bara ut och försvinner. Till slut sjunker den. 

Glömskan är alltid här, och kan också uppsluka oss. Den kan uppsluka oss och spotta ut oss. Idag var jag i glömskan men sen kom jag tillbaka. Då hade katten fått ungar. Ibland är bara händerna där, i förströelse ovanpå duken stryker dom över en kniv medan dagen sakta grusas och faller i ett långsamt grått tumult hit in. 

När vi dör ska vi falla ur tiden och vara i den stora tiden. Det är sagt så. Vi ska vandra där likt strutsar, likt strutsars avkomma, eller likt strutsars ägg, i ultrarapid med halsar vajande i ett grågrönt dis, som i en film om en öken som man ser en vanlig vit onsdag eftermiddag. 

Glömskan finns också mellan människor i nästan varje ögonblink, ja bokstavligen för när människor blinkar är dom där, bakom ögonlocken pågår ett ingenting, en orgie, som dom inte kan slita sig ifrån, dom måste dit igen och igen. Men dom kämpar denna kamp var och en för sig, så ensamma, ty att älska glömskan är en skam bland människor, vi har alla lovat att ständigt finnas tillhands, och med det menas: ständigt.

- Thomas Tidholm

Uppgift: Vad är titeln för texten? 

a) Stora tid 
b) Glömskan 
c) Katten 
d) Ögonblick 

Svar: b)

Uppgift: I texten står det om strutsar som vandrar ”med halsar vajande i ett grågrönt dis”. Vad symboliserar den bilden? 

a) Naturens läkande kraft. 
b) Hoppet om en framtid. 
c) Hur det är att vara död. 
d) Att vardagen skapar trygghet.

Svar:",c)
